n,r,t
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.013824884792626729},"{concept:entree,text:access}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.01228878648233487},"{concept:technology,text:technology}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.01228878648233487},"{concept:fabrication,text:manufacturing}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.01228878648233487},"{concept:industrial,text:industrial}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.010752688172043012},"{concept:industry,text:industry}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.010752688172043012},"{concept:growth,text:growth}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.010752688172043012},"{concept:goal,text:goal}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.009216589861751152},"{concept:promote,text:promote}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.009216589861751152},"{concept:invention,text:innovation}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.009216589861751152},"{concept:people,text:people}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:investing,text:investment}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:employment,text:employment}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:economic,text:economic}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:technological,text:technological}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:cent,text:cent}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.007680491551459293},"{concept:include,text:include}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:communication,text:communication}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:information,text:information}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:productiveness,text:productivity}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:value,text:value}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:sanitation,text:sanitation}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:BASIC,text:basic}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:global,text:global}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:African,text:african}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:occupation,text:job}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:support,text:support}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:resilient,text:resilient}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.006144393241167435},"{concept:research,text:research}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:sector,text:sector}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:procedure,text:process}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:advancement,text:progress}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:merchandise,text:product}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:remain,text:remain}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:population,text:population}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:share,text:share}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:affordable,text:affordable}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:2030,text:2030}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.004608294930875576},"{concept:inclusive,text:inclusive}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:sociable,text:social}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:wellbeing,text:wellbeing}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:impact,text:impact}"
"{nombre:Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation,id:9}",{peso:0.0030721966205837174},"{concept:aid,text:help}"
