n,r,t
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.013657056145675266},"{concept:inclusive,text:inclusive}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.013657056145675266},"{concept:goal,text:goal}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.012139605462822459},"{concept:people,text:people}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.012139605462822459},"{concept:development,text:development}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.010622154779969651},"{concept:right,text:right}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.010622154779969651},"{concept:justice,text:justice}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.010622154779969651},"{concept:need,text:need}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.010622154779969651},"{concept:affect,text:affect}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.010622154779969651},"{concept:form,text:form}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.009104704097116844},"{concept:peaceful,text:peaceful}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.009104704097116844},"{concept:law,text:law}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.009104704097116844},"{concept:degree,text:level}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.009104704097116844},"{concept:universe,text:world}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:sexual,text:sexual}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:promote,text:promote}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:sdgs,text:sdgs}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:entree,text:access}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:sustainable,text:sustainable}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:International,text:international}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:national,text:national}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.007587253414264037},"{concept:corruptness,text:corruption}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:community,text:community}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:homo,text:human}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:populace,text:public}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:deliver,text:deliver}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:maltreatment,text:abuse}"
"{nombre:Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels,id:16}",{peso:0.006069802731411229},"{concept:trafficking,text:trafficking}"
